"ID","Nombre","Precio normal","Categorías"
"","Inversor Trifásico de 100 kW - Fronius Tauro D","46875000","Inversores > Conectado a la red, Inversores"
"","Inversor Trifásico de 50 kW - Fronius Tauro D","32813000","Inversores > Conectado a la red, Inversores"
"","Inversor Trifásico de 15 kW - Fronius Symo Advanced","19265000","Inversores > Conectado a la red, Inversores"
"","Inversor Monofásico de 15 kW - Fronius Primo UL","18930000","Inversores > Conectado a la red, Inversores"
"","Inversor Trifásico de 15 kW - Fronius Symo","18530000","Inversores > Conectado a la red, Inversores"
"","Inversor Trifásico de 24 kW - Fronius Symo Advanced","17865000","Inversores > Conectado a la red, Inversores"
"","Inversor Trifásico de 24 kW - Fronius Symo Advanced Lite","17267000","Inversores > Conectado a la red, Inversores"
"","Inversor Trifásico de 22.7 kW - Fronius Symo Advanced Lite","17000000","Inversores > Conectado a la red, Inversores"
"","Inversor Trifásico de 12 kW - Fronius Symo Advanced","15060000","Inversores > Conectado a la red, Inversores"
"","Inversor Trifásico de 15 kW - Fronius Symo Lite","14616000","Inversores > Conectado a la red, Inversores"
"","Inversor Trifásico de 10 kW - Fronius Symo Advanced","14560000","Inversores > Conectado a la red, Inversores"
"","Inversor Trifásico de 10 kW - Fronius Symo Advanced Lite","13924000","Inversores > Conectado a la red, Inversores"
"","Inversor Monofásico de 11.4 kW - Fronius Primo UL","12738000","Inversores > Conectado a la red, Inversores"
"","Inversor Monofásico de 12.5 kW - Fronius Primo UL","12420000","Inversores > Conectado a la red, Inversores"
"","Inversor Monofásico de 10 kW - Fronius Primo UL","12188000","Inversores > Conectado a la red, Inversores"
"","Inversor Monofásico de 6 kW - Fronius Primo UL","9250000","Inversores > Conectado a la red, Inversores"
"","Inversor Monofásico de 8.2 kW - Fronius Primo UL","8775000","Inversores > Conectado a la red, Inversores"
"","Inversor Monofásico de 7.6 kW - Fronius Primo UL","7830000","Inversores > Conectado a la red, Inversores"
"","Inversor Monofásico de 5 kW - Fronius Primo UL","7705000","Inversores > Conectado a la red, Inversores"
"","Inversor Monofásico de 3.8 kW - Fronius Primo UL","4944000","Inversores > Conectado a la red, Inversores"
